country,year,co2_emissions,greenhouse_gas_emissions,cereal_yield,population_growth,GDP,fresh_water,urban_population,renewable_electricity,total_population,renewable_energy_consumption
Antigua and Barbuda,2020,5.12173012173012,,,,,,,,,
Antigua and Barbuda,2019,5.52558159731646,,,,,,,,,
Antigua and Barbuda,2018,5.5508261847074,,,,,,,,,
Antigua and Barbuda,2017,5.48842722154545,,,,,,,,,
Antigua and Barbuda,2016,5.5264785124332,,,,,,,,,
Antigua and Barbuda,2015,5.45023960151655,,,,,,,,,
Antigua and Barbuda,2014,5.34089380967323,,,,,,,,,
Antigua and Barbuda,2013,5.34368396668814,,,,,,,,,
Antigua and Barbuda,2012,5.35962771175035,,,,,,,,,
Antigua and Barbuda,2011,5.25890993785239,,,,,,,,,
Antigua and Barbuda,2010,5.43555633350837,,,,,,,,,
Antigua and Barbuda,2009,5.36588828163816,,,,,,,,,
Antigua and Barbuda,2008,5.14228057320633,,,,,,,,,
Antigua and Barbuda,2007,5.11119781506048,,,,,,,,,
Antigua and Barbuda,2006,4.9199579702083,,,,,,,,,
Antigua and Barbuda,2005,4.71647322490578,,,,,,,,,
Antigua and Barbuda,2004,4.65410876477369,,,,,,,,,
Antigua and Barbuda,2003,4.6199167467179,,,,,,,,,
Antigua and Barbuda,2002,4.34095472504696,,,,,,,,,
Antigua and Barbuda,2001,4.22357803581972,,,,,,,,,
Antigua and Barbuda,2000,4.16361335020985,,,,,,,,,
Antigua and Barbuda,1999,4.05440186396825,,,,,,,,,
Antigua and Barbuda,1998,3.94091385107204,,,,,,,,,
Antigua and Barbuda,1997,3.75747704232076,,,,,,,,,
Antigua and Barbuda,1996,3.65053439926645,,,,,,,,,
Antigua and Barbuda,1995,3.43869703792509,,,,,,,,,
Antigua and Barbuda,1994,3.3575858778626,,,,,,,,,
Antigua and Barbuda,1993,3.37211775070632,,,,,,,,,
Antigua and Barbuda,1992,3.37926661408311,,,,,,,,,
Antigua and Barbuda,1991,3.47927208724895,,,,,,,,,
